사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-11,1호선,0150,서울역,"1,019",26,"11,590","9,390","14,391","57,182","42,971","105,213","87,305","226,780","67,678","174,607","68,167","92,375","90,965","83,188","99,178","92,812","101,652","96,818","86,494","85,764","118,199","91,024","123,372","96,567","173,386","109,475","256,149","114,261","138,349","82,312","97,617","59,499","97,623","52,623","71,535","38,394","34,270","20,872","3,959","7,479",2,416,0,0,0,0,2019-12-03 11:43:20
2019-11,1호선,0151,시청,78,2,"2,305","4,294","3,912","23,460","8,160","65,801","10,751","203,319","13,525","102,175","17,379","54,826","24,491","53,796","28,068","52,231","35,230","56,020","45,316","46,801","57,429","38,468","70,921","33,637","91,667","33,451","170,360","34,605","74,106","18,177","60,743","10,180","61,804","8,747","40,170","7,080","14,929","4,414",917,"1,419",1,38,0,0,0,0,2019-12-03 11:43:20
2019-11,1호선,0152,종각,99,0,"4,307","4,647","4,480","26,687","7,318","95,355","12,414","273,124","15,581","174,734","20,750","79,676","32,824","75,005","41,344","69,063","56,259","72,027","66,526","61,612","81,845","53,139","94,418","55,021","146,602","66,018","248,103","83,968","121,851","48,981","105,922","19,928","124,509","12,837","100,457","8,918","45,860","5,781","3,847","1,616",0,10,0,0,0,0,2019-12-03 11:43:20
2019-11,1호선,0153,종로3가,187,10,"5,307","2,998","4,617","14,703","6,657","27,630","11,028","79,010","15,803","90,688","26,365","78,378","39,660","85,676","53,173","87,584","66,401","87,504","76,172","79,392","85,615","64,447","95,877","58,385","101,394","57,417","122,185","63,449","84,314","37,239","64,827","15,594","72,171","11,110","61,122","9,014","26,081","6,152","3,031","2,757",6,51,0,0,0,0,2019-12-03 11:43:20
2019-11,1호선,0154,종로5가,39,0,"2,195","3,809","3,118","16,262","5,783","39,965","9,742","119,740","13,901","82,155","23,086","64,868","34,593","69,477","45,972","68,464","58,668","64,794","68,442","60,708","72,326","52,825","77,039","48,063","95,767","44,052","124,043","42,113","67,845","26,629","45,822","12,025","39,951","8,598","31,979","6,019","10,796","3,768",827,"1,119",0,4,0,0,0,0,2019-12-03 11:43:20
2019-11,1호선,0155,동대문,710,11,"15,526","2,157","11,602","8,058","17,880","13,883","24,318","28,116","24,082","31,525","21,499","31,018","23,887","36,206","28,225","36,450","31,431","36,872","33,072","34,561","34,465","32,902","33,651","30,668","33,872","30,865","32,396","30,232","22,377","31,226","18,076","21,867","16,448","17,290","14,334","17,105","8,082","13,551","1,058","4,686",1,84,0,0,0,0,2019-12-03 11:43:20
2019-11,1호선,0156,신설동,271,20,"10,616","2,536","10,298","8,549","21,042","26,898","32,014","76,155","23,688","43,661","21,311","26,640","24,345","23,581","26,149","23,302","28,092","24,417","27,377","22,767","30,156","24,444","35,668","24,911","46,693","29,341","72,125","33,486","28,881","25,489","18,719","16,704","17,427","16,307","12,800","16,015","5,815","11,661",586,"3,008",0,21,0,0,0,0,2019-12-03 11:43:20
2019-11,1호선,0157,제기동,332,1,"5,141","2,348","8,529","9,591","23,473","20,443","36,695","46,780","26,657","45,890","28,050","43,671","36,778","54,535","44,321","58,875","50,394","65,000","56,140","57,818","64,759","50,653","63,023","38,508","54,443","31,734","48,078","30,218","24,867","22,078","16,651","14,101","12,035","12,409","8,948","11,600","3,956","8,455",422,"1,921",0,4,0,0,0,0,2019-12-03 11:43:20
2019-11,1호선,0158,청량리(서울시립대입구),"1,521",14,"12,560","4,145","17,611","13,668","46,531","19,365","63,210","42,662","42,191","42,275","36,022","41,735","41,746","50,964","48,480","55,568","52,272","63,044","54,937","63,009","61,289","57,941","66,974","55,073","64,121","56,736","52,989","65,834","31,692","46,891","25,793","29,240","20,091","27,753","14,421","26,869","6,591","18,227",398,"5,964",1,3,0,0,0,0,2019-12-03 11:43:20
