구분	구분(2)	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015	2015
구분	구분(2)	계	종로구	중구	용산구	성동구	광진구	동대문구	중랑구	성북구	강북구	도봉구	노원구	은평구	서대문구	마포구	양천구	강서구	구로구	금천구	영등포구	동작구	관악구	서초구	강남구	송파구	강동구
합계	합계	209,163	10,207	10,432	6,453	5,186	6,250	8,199	6,447	6,790	6,243	4,708	7,127	6,929	6,665	10,531	6,283	9,088	6,983	5,021	11,416	5,786	7,546	13,081	21,575	12,591	7,626
식품접객업	소계	153,771	8,553	8,278	5,030	3,734	5,262	5,641	4,461	5,104	4,539	2,987	4,817	5,302	5,420	8,815	4,146	6,237	4,935	3,864	8,514	4,238	5,408	8,976	15,533	8,447	5,530
식품접객업	휴게음식점	25,954	1,313	1,917	743	612	847	838	517	871	472	427	918	826	968	1,336	781	1,040	684	557	1,349	748	752	1,805	3,025	1,654	954
식품접객업	일반음식점	117,927	6,700	5,785	4,007	2,920	4,155	4,466	3,698	3,970	3,767	2,370	3,631	4,083	4,198	7,088	3,097	4,675	3,974	3,053	6,462	3,258	4,221	6,598	11,400	6,202	4,149
식품접객업	제과점	3,624	119	151	85	92	123	114	95	149	84	81	139	141	115	202	158	183	113	58	154	106	109	281	401	228	143
식품접객업	단란주점	2,861	136	95	118	52	87	112	103	70	129	56	56	150	63	88	75	168	97	80	269	50	94	113	313	184	103
식품접객업	유흥주점	2,212	223	252	33	24	17	79	27	8	71	22	25	83	33	56	6	119	33	57	179	51	218	77	269	103	147
식품접객업	위탁급식영업	1,193	62	78	44	34	33	32	21	36	16	31	48	19	43	45	29	52	34	59	101	25	14	102	125	76	34
집단급식소	집단급식소	6,013	190	186	158	194	187	201	210	265	169	207	305	265	197	207	237	349	254	209	305	214	213	295	401	330	265
식품제조업 및 가공업	소계	14,042	218	478	345	323	416	876	524	432	468	562	631	574	325	522	569	595	497	303	585	437	568	673	956	1,529	636
식품제조업 및 가공업	식품제조가공업	2,310	38	79	82	103	54	162	80	48	49	57	35	72	63	152	73	76	73	84	138	74	66	109	158	325	60
식품제조업 및 가공업	즉석판매제조가공업	11,708	180	399	263	218	362	714	443	384	419	504	596	502	262	370	495	519	420	212	442	362	502	563	798	1,204	575
식품제조업 및 가공업	식품첨가물 제조업	24	-	-	-	2	-	-	1	-	-	1	-	-	-	-	1	-	4	7	5	1	-	1	-	-	1
식품 운반·판매·기타업	소계	11,023	607	428	333	501	354	622	474	389	487	429	569	33	309	190	305	562	425	119	569	331	448	825	987	452	275
식품 운반·판매·기타업	식품운반업	313	-	2	2	1	5	11	17	-	-	2	6	4	7	12	7	30	9	11	27	2	7	23	18	102	8
식품 운반·판매·기타업	식품판매업	10,567	606	394	328	483	346	607	457	389	487	427	563	29	302	138	296	528	408	94	537	329	438	801	968	345	267
식품 운반·판매·기타업	식품보존업	46	-	-	-	-	-	2	-	-	-	-	-	-	-	39	1	2	-	2	-	-	-	-	-	-	-
식품 운반·판매·기타업	용기·포장류제조업	97	1	32	3	17	3	2	-	-	-	-	-	-	-	1	1	2	8	12	5	-	3	1	1	5	-
건강기능식품 제조·수입·판매업	소계	24,314	639	1,062	587	434	31	859	778	600	580	523	805	755	414	797	1,026	1,345	872	526	1,443	566	909	2,312	3,698	1,833	920
건강기능식품 제조·수입·판매업	건강기능식품수입업	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
건강기능식품 제조·수입·판매업	건강기능식품판매업	24,314	639	1,062	587	434	31	859	778	600	580	523	805	755	414	797	1,026	1,345	872	526	1,443	566	909	2,312	3,698	1,833	920
