구분	구분(2)	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016	2016
구분	구분(2)	계	종로구	중구	용산구	성동구	광진구	동대문구	중랑구	성북구	강북구	도봉구	노원구	은평구	서대문구	마포구	양천구	강서구	구로구	금천구	영등포구	동작구	관악구	서초구	강남구	송파구	강동구
합계	합계	212,707	9,458	10,591	6,518	5,318	7,152	8,286	6,071	6,673	6,253	4,635	7,165	7,514	6,782	11,630	6,522	8,993	7,528	4,704	11,889	5,729	7,741	13,567	22,479	12,905	6,604
식품접객업	소계	156,447	7,760	8,519	5,279	3,993	5,365	5,623	4,539	5,191	4,596	3,058	4,825	5,557	5,300	9,709	4,381	6,170	5,405	3,555	8,848	4,410	5,894	9,173	15,904	8,855	4,538
식품접객업	휴게음식점	28,726	1,196	2,084	792	750	981	893	610	937	549	499	1,046	983	983	1,673	894	1,107	789	556	1,616	891	983	2,022	3,300	1,822	770
식품접객업	일반음식점	117,853	6,102	5,857	4,204	3,033	4,119	4,404	3,675	3,986	3,746	2,369	3,496	4,157	4,070	7,625	3,225	4,548	4,315	2,766	6,537	3,283	4,461	6,592	11,476	6,409	3,398
식품접객업	제과점	3,752	104	149	90	104	127	105	100	149	84	83	154	170	111	217	152	181	124	55	154	115	120	279	442	256	127
식품접객업	단란주점	2,786	122	97	115	49	87	115	104	70	128	55	56	149	63	85	74	165	97	76	262	49	94	111	301	181	81
식품접객업	유흥주점	2,137	194	250	30	23	18	75	27	8	72	21	25	77	32	64	6	117	37	52	173	48	219	74	255	107	133
식품접객업	위탁급식영업	1,193	42	82	48	34	33	31	23	41	17	31	48	21	41	45	30	52	43	50	106	24	17	95	130	80	29
집단급식소	집단급식소	6,053	176	194	161	203	184	200	218	264	170	209	308	275	195	208	241	343	264	196	310	214	227	304	408	333	248
식품제조업 및 가공업	소계	14,146	246	452	348	325	484	894	523	482	469	581	663	531	356	504	560	584	538	305	596	456	612	736	1,000	1,355	546
식품제조업 및 가공업	식품제조가공업	2,244	44	78	90	97	52	161	77	54	45	56	33	71	65	131	60	66	69	85	130	78	65	107	152	327	51
식품제조업 및 가공업	즉석판매제조가공업	11,879	202	374	258	227	432	733	446	428	424	525	630	460	291	373	499	518	465	212	461	377	547	628	848	1,027	494
식품제조업 및 가공업	식품첨가물 제조업	23	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1	-	4	8	5	1	-	1	-	1	1
식품 운반·판매·기타업	소계	10,867	619	396	115	324	338	668	393	84	441	339	561	350	540	421	305	526	415	140	642	110	63	1,007	1,244	449	377
식품 운반·판매·기타업	식품운반업	288	-	3	-	-	5	11	13	-	-	3	6	6	8	12	8	27	10	11	25	2	8	23	18	84	5
식품 운반·판매·기타업	식품판매업	10,486	618	360	114	307	330	653	380	84	441	336	555	344	532	409	296	495	401	118	612	108	52	982	1,225	362	372
식품 운반·판매·기타업	식품보존업	5	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	2	-	1	-	-	-	-	-	-	-
식품 운반·판매·기타업	용기·포장류제조업	88	1	33	1	17	3	2	-	-	-	-	-	-	-	-	1	2	4	10	5	-	3	2	1	3	-
건강기능식품 제조·수입·판매업	소계	25,194	657	1,030	615	473	781	901	398	652	577	448	808	801	391	788	1,035	1,370	906	508	1,493	539	945	2,347	3,923	1,913	895
건강기능식품 제조·수입·판매업	건강기능식품수입업	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
건강기능식품 제조·수입·판매업	건강기능식품판매업	25,194	657	1,030	615	473	781	901	398	652	577	448	808	801	391	788	1,035	1,370	906	508	1,493	539	945	2,347	3,923	1,913	895
