기간	자치구	여행업	여행업	여행업	여행업	관광숙박업	관광숙박업	관광숙박업	관광숙박업	관광숙박업	관광숙박업	관광숙박업	관광숙박업	관광객이용시설업	관광객이용시설업	관광객이용시설업	관광객이용시설업	국제회의업	국제회의업	국제회의업	카지노업	유원시설업	유원시설업	유원시설업	관광편의시설업	관광편의시설업	관광편의시설업	관광편의시설업	관광편의시설업	관광편의시설업	관광편의시설업	관광편의시설업	관광편의시설업
기간	자치구	합계	일반	국외	국내	호텔업	호텔업	호텔업	호텔업	호텔업	호텔업	호텔업	호텔업	종합 휴양업	관광 유람선업	관광 공연장업	외국인 전용 관광기념용 판매점업	합계	국제회의 시설업	국제회의 기획업	카지노업	종합유원 시설업	일반유원 시설업	기타유원 시설업	합계	관광유흥 음식점업	관광극장유흥업	외국인 전용 유흥 음식점업	관광식당업	시내순환관광	관광사진업	한옥체험업	외국인관광 도시민박업
기간	자치구	합계	일반	국외	국내	합계	합계	관광호텔업	관광호텔업	가족호텔업	가족호텔업	기타호텔업	기타호텔업	종합 휴양업	관광 유람선업	관광 공연장업	외국인 전용 관광기념용 판매점업	합계	국제회의 시설업	국제회의 기획업	카지노업	종합유원 시설업	일반유원 시설업	기타유원 시설업	합계	관광유흥 음식점업	관광극장유흥업	외국인 전용 유흥 음식점업	관광식당업	시내순환관광	관광사진업	한옥체험업	외국인관광 도시민박업
기간	자치구	합계	일반	국외	국내	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	종합 휴양업	관광 유람선업	관광 공연장업	외국인 전용 관광기념용 판매점업	합계	국제회의 시설업	국제회의 기획업	카지노업	종합유원 시설업	일반유원 시설업	기타유원 시설업	합계	관광유흥 음식점업	관광극장유흥업	외국인 전용 유흥 음식점업	관광식당업	시내순환관광	관광사진업	한옥체험업	외국인관광 도시민박업
2014	합계	6,343	1,757	3,355	1,231	233	34,551	207	32,310	11	1,698	15	543	2	1	4	81	392	1	391	3	1	8	18	1,241	3	24	6	529	3	19	87	570
2014	종로구	900	197	582	121	27	2,214	15	1,780	1	213	11	221	-	-	-	5	18	-	18	-	-	-	-	182	-	-	-	49	-	10	84	39
2014	중구	660	261	368	31	43	9,756	38	8,845	4	716	1	195	-	-	-	6	31	-	31	1	-	1	-	122	-	-	-	55	1	2	-	64
2014	용산구	169	63	69	37	8	1,558	8	1,558	-	-	-	-	-	-	1	7	16	-	16	-	-	1	-	104	-	-	4	63	-	-	-	37
2014	성동구	99	16	52	31	5	300	5	300	-	-	-	-	-	-	-	-	11	-	11	-	-	-	-	15	-	-	-	6	-	1	-	8
2014	광진구	77	19	28	30	5	1,300	5	1,300	-	-	-	-	-	-	2	1	9	-	9	1	1	1	3	20	-	-	-	9	1	-	1	9
2014	동대문구	80	18	45	17	8	809	8	809	-	-	-	-	-	-	-	-	5	-	5	-	-	-	1	27	-	4	-	9	-	-	-	14
