year,place,gg,gd,crimesum,murder,jd,fight,CCTV,sd,korean,forign,pop_sum
2014,강남구,512,37,8851,13,3895,4394,430,234324,571509,5359,576868
2014,강동구,148,10,5392,5,2425,2804,59,186239,479586,4605,484191
2014,강북구,189,21,4030,6,1494,2320,74,141139,336363,3308,339671
2014,강서구,214,9,5289,8,2341,2717,230,230553,576574,6331,582906
2014,관악구,361,25,6781,7,3029,3359,487,248703,515688,18120,533809
2014,광진구,249,16,6268,8,3167,2828,87,159134,365993,13493,379486
2014,구로구,252,14,5389,3,2377,2743,187,172682,427022,29736,456758
2014,금천구,162,9,3842,7,1552,2112,101,104002,239510,18669,258180
2014,노원구,173,8,5312,5,2404,2722,80,221580,585599,3474,589074
2014,도봉구,172,11,3124,6,1350,1585,185,137382,355829,2003,357832
2014,동대문구,141,13,4363,12,1809,2388,1326,159469,363033,12447,375481
2014,동작구,203,9,3869,2,1787,1868,503,173011,409815,11382,421197
2014,마포구,265,22,5740,4,2763,2686,70,167797,382186,9766,391952
2014,서대문구,185,4,4194,3,1883,2119,114,135297,312672,10314,322987
2014,서초구,285,14,5558,6,2747,2506,134,172259,446394,4601,450996
2014,성동구,141,5,3582,1,1753,1682,101,126393,298195,7537,305733
2014,성북구,165,16,4606,8,2130,2287,241,195032,471585,9077,480663
2014,송파구,255,9,8004,9,4199,3532,21,258291,668897,6899,675796
2014,양천구,129,11,4642,5,2058,2439,169,179604,488766,4461,493228
2014,영등포구,250,10,7003,14,3080,3649,217,168226,384497,37696,422194
2014,용산구,213,7,3799,1,1560,2018,107,108907,237789,12815,250604
2014,은평구,188,24,5431,5,2352,2862,343,202308,500518,4567,505085
2014,종로구,226,12,5021,3,2272,2508,132,73500,158358,8031,166389
2014,중구,221,13,5231,6,2576,2415,80,60214,129091,7805,136897
2014,중랑구,163,14,5353,11,2390,2775,770,176247,418733,4551,423284
2015,강남구,449,21,8617,13,3850,4284,546,237556,576881,5325,582206
2015,강동구,156,6,5244,4,2366,2712,144,182224,464743,4703,469446
2015,강북구,153,14,4257,7,1434,2649,145,141291,332836,3478,336314
2015,강서구,262,13,5585,7,2096,3207,187,237488,588640,6575,595215
2015,관악구,320,12,6345,9,2706,3298,609,249467,512096,19202,531299
2015,광진구,240,14,5909,4,3026,2625,64,158680,361718,14520,376238
2015,구로구,281,15,5646,8,2335,3007,268,172651,424262,32262,456525
2015,금천구,151,6,3781,3,1567,2054,382,104148,237693,19976,257670
2015,노원구,197,7,5130,10,2193,2723,461,220327,578109,3575,581684
2015,도봉구,102,9,2664,3,1063,1487,59,137115,352574,1984,354558
2015,동대문구,173,13,4720,5,1981,2548,111,160128,361988,13069,375057
2015,동작구,285,9,4074,5,1865,1910,130,171783,404533,12054,416588
2015,마포구,294,14,5854,8,2555,2983,177,171489,388910,10580,399490
2015,서대문구,154,5,4029,2,1812,2056,109,134546,309029,10778,319808
2015,서초구,393,9,5444,8,2635,2399,215,173092,447679,4572,452251
2015,성동구,126,9,3358,4,1607,1612,258,126674,297324,7974,305298
2015,성북구,150,5,4154,5,1785,2209,279,192297,462957,9895,472852
2015,송파구,220,13,6778,11,3239,3295,166,257294,663406,7175,670581
2015,양천구,120,6,4528,3,1890,2509,172,179464,485489,4465,489954
2015,영등포구,295,22,6867,14,2964,3572,366,168246,380814,39556,420370
2015,용산구,194,14,3820,5,1557,2050,102,107995,234649,14422,249072
