,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
1,계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2,"215,349","10,961","10,810","6,993","5,794","7,024","8,130","6,195","6,852","6,280","4,682","7,248","6,801","6,689","12,433","6,220","10,340","7,535","5,420","11,296","5,785","8,075","12,359","20,736","13,095","7,596"
3,"162,187","9,234","8,852","5,760","4,244","5,419","5,486","4,642","5,178","4,588","3,179","4,950","5,157","5,527","10,359","4,408","7,457","5,557","3,864","9,064","4,504","6,035","8,784","15,337","9,246","5,356"
4,"32,840","1,625","2,168",903,850,"1,029","1,017",740,"1,067",670,579,"1,191","1,124","1,153","1,890",945,"1,559",983,736,"1,821",977,"1,078","2,171","3,356","2,161","1,047"
5,"119,673","7,097","6,120","4,558","3,188","4,136","4,178","3,660","3,879","3,620","2,405","3,491","3,616","4,110","8,044","3,206","5,328","4,276","2,897","6,638","3,270","4,503","6,086","10,985","6,488","3,894"
6,"3,773",116,155,110,107,120,101,95,117,81,86,146,172,128,234,145,199,124,63,133,139,133,251,395,263,160
7,"2,614",130,92,108,41,86,91,103,65,126,55,49,137,63,82,73,171,96,73,208,44,93,110,266,161,91
8,"2,066",210,233,29,23,18,71,24,8,74,23,23,82,30,63,5,133,35,51,159,50,212,67,211,99,133
9,"1,221",56,84,52,35,30,28,20,42,17,31,50,26,43,46,34,67,43,44,105,24,16,99,124,74,31
10,"6,181",193,193,163,205,179,199,217,276,170,208,308,265,198,212,240,382,261,201,296,217,221,321,424,359,273
11,"14,400",249,433,334,422,472,897,542,513,464,535,630,538,306,509,589,658,554,375,576,462,570,797,923,"1,397",655
12,"1,906",34,46,71,107,48,142,67,49,36,36,23,60,46,91,42,61,63,87,99,58,46,104,125,307,58
13,"12,467",215,387,263,312,424,755,475,464,427,499,607,478,260,418,546,594,489,280,474,403,523,693,798,"1,087",596
14,27,-,-,-,3,-,-,-,-,1,-,-,-,-,-,1,3,2,8,3,1,1,-,-,3,1
15,"9,697",663,228,129,401,154,682,388,409,513,340,533,304,296,501,314,655,387,326,84,115,444,803,97,497,434
16,277,1,6,2,-,6,12,10,-,-,2,6,4,7,12,7,28,12,9,16,2,7,17,18,87,6
17,"9,344",661,194,126,382,145,668,378,409,513,338,527,299,289,489,307,623,374,307,68,113,435,785,79,407,428
18,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-
19,72,1,28,1,19,3,1,-,-,-,-,-,1,-,-,-,2,1,9,-,-,2,1,-,3,-
20,"22,884",622,"1,104",607,522,800,866,406,476,545,420,827,537,362,852,669,"1,188",776,654,"1,276",487,805,"1,654","3,955","1,596",878
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"22,884",622,"1,104",607,522,800,866,406,476,545,420,827,537,362,852,669,"1,188",776,654,"1,276",487,805,"1,654","3,955","1,596",878
