지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
1,서울경기,2018-12-31,0,,,,,
1,서울경기,2018-12-30,0,,,,,
1,서울경기,2018-12-29,0,0,백령도,,,
1,서울경기,2018-12-28,0,0.1,백령도,,,
1,서울경기,2018-12-27,0,0,백령도,,,
1,서울경기,2018-12-26,0,0,인천,,,
1,서울경기,2018-12-25,0,0.1,수원,,,
1,서울경기,2018-12-24,0,,,,,
1,서울경기,2018-12-23,0,,,,,
1,서울경기,2018-12-22,0,,,,,
1,서울경기,2018-12-21,0,0,파주,백령도,강화,,,
1,서울경기,2018-12-20,0,,,,,
1,서울경기,2018-12-19,0,,,,,
1,서울경기,2018-12-18,0,0,동두천,,,
1,서울경기,2018-12-17,0.1,0.3,서울,,,
1,서울경기,2018-12-16,0.4,2,백령도,,,
1,서울경기,2018-12-15,0,,,,,
1,서울경기,2018-12-14,0,,,,,
1,서울경기,2018-12-13,2,3.6,인천,,,
1,서울경기,2018-12-12,0,0,백령도,,,
1,서울경기,2018-12-11,0,0.5,백령도,,,
1,서울경기,2018-12-10,0,,,,,
1,서울경기,2018-12-09,0,,,,,
1,서울경기,2018-12-08,0,3,백령도,,,
1,서울경기,2018-12-07,0,0,백령도,,,
1,서울경기,2018-12-06,0.3,2.2,백령도,,,
1,서울경기,2018-12-05,0,,,,,
1,서울경기,2018-12-04,5.7,10,수원,,,
1,서울경기,2018-12-03,7.7,19.5,백령도,,,
1,서울경기,2018-12-02,0,0.3,백령도,,,
1,서울경기,2018-12-01,0,,,,,
1,서울경기,2018-11-30,0,0,백령도,,,
1,서울경기,2018-11-29,0,0,서울,인천,,,
1,서울경기,2018-11-28,0,,,,,
1,서울경기,2018-11-27,0,,,,,
1,서울경기,2018-11-26,0,,,,,
1,서울경기,2018-11-25,0,,,,,
1,서울경기,2018-11-24,9.8,28.6,백령도,,,
1,서울경기,2018-11-23,0,0,백령도,,,
1,서울경기,2018-11-22,0,,,,,
1,서울경기,2018-11-21,2.4,5.4,수원,,,
1,서울경기,2018-11-20,0.9,4.3,파주,,,
1,서울경기,2018-11-19,0,0,백령도,강화,,,
1,서울경기,2018-11-18,0,0.8,백령도,,,
1,서울경기,2018-11-17,0,,,,,
1,서울경기,2018-11-16,0,0.7,백령도,,,
1,서울경기,2018-11-15,0,,,,,
1,서울경기,2018-11-14,0,,,,,
1,서울경기,2018-11-13,0,,,,,
1,서울경기,2018-11-12,0,,,,,
1,서울경기,2018-11-11,0,0,서울,인천,수원,강화,,,
1,서울경기,2018-11-10,0.1,0.5,인천,,,
1,서울경기,2018-11-09,0.4,2.1,이천,,,
1,서울경기,2018-11-08,54.7,64,서울,수원,,,
1,서울경기,2018-11-07,2.3,3,강화,양평,,,
1,서울경기,2018-11-06,0,0,백령도,,,
1,서울경기,2018-11-05,0,,,,,
1,서울경기,2018-11-04,0,,,,,
1,서울경기,2018-11-03,0,,,,,
1,서울경기,2018-11-02,0,,,,,
1,서울경기,2018-11-01,0,,,,,
1,서울경기,2018-10-31,0.1,0.4,강화,0.4,강화,
1,서울경기,2018-10-30,0,0.1,강화,이천,0.1,강화,이천,
1,서울경기,2018-10-29,0,0.1,수원,0.1,수원,
1,서울경기,2018-10-28,7.8,17.2,동두천,7.1,파주,
1,서울경기,2018-10-27,0,0.1,양평,0.1,양평,
1,서울경기,2018-10-26,11.2,15.6,인천,11,백령도,
1,서울경기,2018-10-25,0,,,,,
1,서울경기,2018-10-24,0,,,,,
1,서울경기,2018-10-23,6.8,11.7,파주,9.4,강화,
1,서울경기,2018-10-22,0,,,,,
1,서울경기,2018-10-21,0,,,,,
1,서울경기,2018-10-20,0,,,,,
1,서울경기,2018-10-19,0,,,,,
1,서울경기,2018-10-18,1.1,5.8,이천,3.7,이천,
1,서울경기,2018-10-17,0,,,,,
1,서울경기,2018-10-16,0,,,,,
1,서울경기,2018-10-15,0,,,,,
1,서울경기,2018-10-14,0,,,,,
1,서울경기,2018-10-13,0,,,,,
1,서울경기,2018-10-12,0,,,,,
1,서울경기,2018-10-11,0,,,,,
1,서울경기,2018-10-10,7.8,18.8,인천,17.7,인천,
1,서울경기,2018-10-09,0.5,12.8,백령도,12.2,백령도,
1,서울경기,2018-10-08,0,,,,,
1,서울경기,2018-10-07,0,,,,,
1,서울경기,2018-10-06,50.6,76,수원,10.8,수원,
1,서울경기,2018-10-05,24.8,36.5,서울,9.3,이천,
1,서울경기,2018-10-04,0,,,,,
1,서울경기,2018-10-03,0,,,,,
1,서울경기,2018-10-02,0,,,,,
1,서울경기,2018-10-01,0,2.6,백령도,2.5,백령도,
1,서울경기,2018-09-30,0,,,,,
1,서울경기,2018-09-29,0,,,,,
1,서울경기,2018-09-28,0,,,,,
1,서울경기,2018-09-27,0,,,,,
